Rainfall - (MM), Year, Statistics, Country, ISO3
158.2, 1924, Jul Average, Indonesia, IDN
162.6, 1924, Aug Average, Indonesia, IDN
183.0, 1924, Sep Average, Indonesia, IDN
234.4, 1924, Oct Average, Indonesia, IDN
284.1, 1924, Nov Average, Indonesia, IDN
267.3, 1924, Dec Average, Indonesia, IDN
298.2, 1925, Jan Average, Indonesia, IDN
272.7, 1925, Feb Average, Indonesia, IDN
275.0, 1925, Mar Average, Indonesia, IDN
272.4, 1925, Apr Average, Indonesia, IDN
207.7, 1925, May Average, Indonesia, IDN
187.8, 1925, Jun Average, Indonesia, IDN
133.3, 1925, Jul Average, Indonesia, IDN
140.3, 1925, Aug Average, Indonesia, IDN
179.7, 1925, Sep Average, Indonesia, IDN
196.9, 1925, Oct Average, Indonesia, IDN
250.7, 1925, Nov Average, Indonesia, IDN
303.6, 1925, Dec Average, Indonesia, IDN
281.9, 1926, Jan Average, Indonesia, IDN
249.3, 1926, Feb Average, Indonesia, IDN
272.6, 1926, Mar Average, Indonesia, IDN
273.7, 1926, Apr Average, Indonesia, IDN
269.1, 1926, May Average, Indonesia, IDN
174.2, 1926, Jun Average, Indonesia, IDN
146.8, 1926, Jul Average, Indonesia, IDN
150.9, 1926, Aug Average, Indonesia, IDN
171.1, 1926, Sep Average, Indonesia, IDN
205.6, 1926, Oct Average, Indonesia, IDN
250.3, 1926, Nov Average, Indonesia, IDN
299.0, 1926, Dec Average, Indonesia, IDN
277.1, 1927, Jan Average, Indonesia, IDN
242.5, 1927, Feb Average, Indonesia, IDN
307.0, 1927, Mar Average, Indonesia, IDN
290.3, 1927, Apr Average, Indonesia, IDN
242.7, 1927, May Average, Indonesia, IDN
185.7, 1927, Jun Average, Indonesia, IDN
149.7, 1927, Jul Average, Indonesia, IDN
155.5, 1927, Aug Average, Indonesia, IDN
196.9, 1927, Sep Average, Indonesia, IDN
208.4, 1927, Oct Average, Indonesia, IDN
271.8, 1927, Nov Average, Indonesia, IDN
289.7, 1927, Dec Average, Indonesia, IDN
283.1, 1928, Jan Average, Indonesia, IDN
285.1, 1928, Feb Average, Indonesia, IDN
296.9, 1928, Mar Average, Indonesia, IDN
267.5, 1928, Apr Average, Indonesia, IDN
218.5, 1928, May Average, Indonesia, IDN
159.6, 1928, Jun Average, Indonesia, IDN
158.6, 1928, Jul Average, Indonesia, IDN
176.3, 1928, Aug Average, Indonesia, IDN
139.1, 1928, Sep Average, Indonesia, IDN
237.8, 1928, Oct Average, Indonesia, IDN
263.0, 1928, Nov Average, Indonesia, IDN
306.9, 1928, Dec Average, Indonesia, IDN
257.2, 1929, Jan Average, Indonesia, IDN
252.8, 1929, Feb Average, Indonesia, IDN
308.5, 1929, Mar Average, Indonesia, IDN
253.3, 1929, Apr Average, Indonesia, IDN
223.8, 1929, May Average, Indonesia, IDN
191.6, 1929, Jun Average, Indonesia, IDN
128.7, 1929, Jul Average, Indonesia, IDN
160.7, 1929, Aug Average, Indonesia, IDN
182.3, 1929, Sep Average, Indonesia, IDN
208.0, 1929, Oct Average, Indonesia, IDN
252.3, 1929, Nov Average, Indonesia, IDN
273.5, 1929, Dec Average, Indonesia, IDN
255.2, 1930, Jan Average, Indonesia, IDN
221.7, 1930, Feb Average, Indonesia, IDN
309.0, 1930, Mar Average, Indonesia, IDN
275.3, 1930, Apr Average, Indonesia, IDN
253.0, 1930, May Average, Indonesia, IDN
191.4, 1930, Jun Average, Indonesia, IDN
114.3, 1930, Jul Average, Indonesia, IDN
129.3, 1930, Aug Average, Indonesia, IDN
133.5, 1930, Sep Average, Indonesia, IDN
253.8, 1930, Oct Average, Indonesia, IDN
239.3, 1930, Nov Average, Indonesia, IDN
304.3, 1930, Dec Average, Indonesia, IDN
314.6, 1931, Jan Average, Indonesia, IDN
244.0, 1931, Feb Average, Indonesia, IDN
297.4, 1931, Mar Average, Indonesia, IDN
291.7, 1931, Apr Average, Indonesia, IDN
267.8, 1931, May Average, Indonesia, IDN
219.4, 1931, Jun Average, Indonesia, IDN
187.7, 1931, Jul Average, Indonesia, IDN
156.5, 1931, Aug Average, Indonesia, IDN
226.8, 1931, Sep Average, Indonesia, IDN
237.3, 1931, Oct Average, Indonesia, IDN
255.2, 1931, Nov Average, Indonesia, IDN
297.9, 1931, Dec Average, Indonesia, IDN
278.3, 1932, Jan Average, Indonesia, IDN
245.0, 1932, Feb Average, Indonesia, IDN
325.6, 1932, Mar Average, Indonesia, IDN
303.8, 1932, Apr Average, Indonesia, IDN
276.1, 1932, May Average, Indonesia, IDN
225.1, 1932, Jun Average, Indonesia, IDN
164.0, 1932, Jul Average, Indonesia, IDN
183.8, 1932, Aug Average, Indonesia, IDN
158.8, 1932, Sep Average, Indonesia, IDN
257.1, 1932, Oct Average, Indonesia, IDN
255.7, 1932, Nov Average, Indonesia, IDN
305.3, 1932, Dec Average, Indonesia, IDN
307.9, 1933, Jan Average, Indonesia, IDN
235.4, 1933, Feb Average, Indonesia, IDN
305.0, 1933, Mar Average, Indonesia, IDN
265.3, 1933, Apr Average, Indonesia, IDN
261.8, 1933, May Average, Indonesia, IDN
198.0, 1933, Jun Average, Indonesia, IDN
173.2, 1933, Jul Average, Indonesia, IDN
223.3, 1933, Aug Average, Indonesia, IDN
210.0, 1933, Sep Average, Indonesia, IDN
242.5, 1933, Oct Average, Indonesia, IDN
272.9, 1933, Nov Average, Indonesia, IDN
266.5, 1933, Dec Average, Indonesia, IDN
316.0, 1934, Jan Average, Indonesia, IDN
234.3, 1934, Feb Average, Indonesia, IDN
296.2, 1934, Mar Average, Indonesia, IDN
295.1, 1934, Apr Average, Indonesia, IDN
210.3, 1934, May Average, Indonesia, IDN
221.0, 1934, Jun Average, Indonesia, IDN
200.0, 1934, Jul Average, Indonesia, IDN
181.1, 1934, Aug Average, Indonesia, IDN
158.2, 1934, Sep Average, Indonesia, IDN
227.2, 1934, Oct Average, Indonesia, IDN
291.6, 1934, Nov Average, Indonesia, IDN
257.2, 1934, Dec Average, Indonesia, IDN
265.0, 1935, Jan Average, Indonesia, IDN
244.7, 1935, Feb Average, Indonesia, IDN
286.0, 1935, Mar Average, Indonesia, IDN
281.9, 1935, Apr Average, Indonesia, IDN
256.8, 1935, May Average, Indonesia, IDN
185.9, 1935, Jun Average, Indonesia, IDN
144.3, 1935, Jul Average, Indonesia, IDN
166.6, 1935, Aug Average, Indonesia, IDN
140.5, 1935, Sep Average, Indonesia, IDN
275.3, 1935, Oct Average, Indonesia, IDN
277.8, 1935, Nov Average, Indonesia, IDN
275.4, 1935, Dec Average, Indonesia, IDN
308.4, 1936, Jan Average, Indonesia, IDN
236.0, 1936, Feb Average, Indonesia, IDN
301.8, 1936, Mar Average, Indonesia, IDN
288.5, 1936, Apr Average, Indonesia, IDN
271.4, 1936, May Average, Indonesia, IDN
205.1, 1936, Jun Average, Indonesia, IDN
172.0, 1936, Jul Average, Indonesia, IDN
172.2, 1936, Aug Average, Indonesia, IDN
175.1, 1936, Sep Average, Indonesia, IDN
243.0, 1936, Oct Average, Indonesia, IDN
272.1, 1936, Nov Average, Indonesia, IDN
263.0, 1936, Dec Average, Indonesia, IDN
274.9, 1937, Jan Average, Indonesia, IDN
242.5, 1937, Feb Average, Indonesia, IDN
262.9, 1937, Mar Average, Indonesia, IDN
334.1, 1937, Apr Average, Indonesia, IDN
260.0, 1937, May Average, Indonesia, IDN
204.8, 1937, Jun Average, Indonesia, IDN
194.2, 1937, Jul Average, Indonesia, IDN
162.5, 1937, Aug Average, Indonesia, IDN
195.4, 1937, Sep Average, Indonesia, IDN
