tasmax, Year, Statistics, Country, ISO3
14.5, 1936, Aug Average, Canada, CAN
6.8, 1936, Sep Average, Canada, CAN
-2.5, 1936, Oct Average, Canada, CAN
-10.4, 1936, Nov Average, Canada, CAN
-18.6, 1936, Dec Average, Canada, CAN
-22.4, 1937, Jan Average, Canada, CAN
-19.7, 1937, Feb Average, Canada, CAN
-12.5, 1937, Mar Average, Canada, CAN
-3.6, 1937, Apr Average, Canada, CAN
5.6, 1937, May Average, Canada, CAN
13.0, 1937, Jun Average, Canada, CAN
16.7, 1937, Jul Average, Canada, CAN
13.8, 1937, Aug Average, Canada, CAN
8.2, 1937, Sep Average, Canada, CAN
-0.3, 1937, Oct Average, Canada, CAN
-10.8, 1937, Nov Average, Canada, CAN
-18.5, 1937, Dec Average, Canada, CAN
-18.8, 1938, Jan Average, Canada, CAN
-20.8, 1938, Feb Average, Canada, CAN
-12.3, 1938, Mar Average, Canada, CAN
-5.2, 1938, Apr Average, Canada, CAN
4.9, 1938, May Average, Canada, CAN
12.4, 1938, Jun Average, Canada, CAN
16.9, 1938, Jul Average, Canada, CAN
13.9, 1938, Aug Average, Canada, CAN
10.4, 1938, Sep Average, Canada, CAN
1.6, 1938, Oct Average, Canada, CAN
-10.2, 1938, Nov Average, Canada, CAN
-15.2, 1938, Dec Average, Canada, CAN
-18.1, 1939, Jan Average, Canada, CAN
-23.4, 1939, Feb Average, Canada, CAN
-16.2, 1939, Mar Average, Canada, CAN
-3.6, 1939, Apr Average, Canada, CAN
5.0, 1939, May Average, Canada, CAN
10.8, 1939, Jun Average, Canada, CAN
16.2, 1939, Jul Average, Canada, CAN
14.7, 1939, Aug Average, Canada, CAN
6.7, 1939, Sep Average, Canada, CAN
-2.9, 1939, Oct Average, Canada, CAN
-8.2, 1939, Nov Average, Canada, CAN
-12.6, 1939, Dec Average, Canada, CAN
-17.6, 1940, Jan Average, Canada, CAN
-17.6, 1940, Feb Average, Canada, CAN
-12.6, 1940, Mar Average, Canada, CAN
-3.9, 1940, Apr Average, Canada, CAN
5.1, 1940, May Average, Canada, CAN
10.7, 1940, Jun Average, Canada, CAN
16.2, 1940, Jul Average, Canada, CAN
14.5, 1940, Aug Average, Canada, CAN
10.2, 1940, Sep Average, Canada, CAN
0.3, 1940, Oct Average, Canada, CAN
-12.5, 1940, Nov Average, Canada, CAN
-16.3, 1940, Dec Average, Canada, CAN
-19.0, 1941, Jan Average, Canada, CAN
-16.0, 1941, Feb Average, Canada, CAN
-12.8, 1941, Mar Average, Canada, CAN
-3.3, 1941, Apr Average, Canada, CAN
4.7, 1941, May Average, Canada, CAN
12.5, 1941, Jun Average, Canada, CAN
17.4, 1941, Jul Average, Canada, CAN
13.8, 1941, Aug Average, Canada, CAN
6.0, 1941, Sep Average, Canada, CAN
-1.1, 1941, Oct Average, Canada, CAN
-10.8, 1941, Nov Average, Canada, CAN
-16.3, 1941, Dec Average, Canada, CAN
-16.4, 1942, Jan Average, Canada, CAN
-18.7, 1942, Feb Average, Canada, CAN
-10.3, 1942, Mar Average, Canada, CAN
-4.1, 1942, Apr Average, Canada, CAN
5.1, 1942, May Average, Canada, CAN
11.4, 1942, Jun Average, Canada, CAN
15.8, 1942, Jul Average, Canada, CAN
13.9, 1942, Aug Average, Canada, CAN
7.5, 1942, Sep Average, Canada, CAN
1.0, 1942, Oct Average, Canada, CAN
-11.9, 1942, Nov Average, Canada, CAN
-19.3, 1942, Dec Average, Canada, CAN
-22.1, 1943, Jan Average, Canada, CAN
-17.2, 1943, Feb Average, Canada, CAN
-16.4, 1943, Mar Average, Canada, CAN
-3.7, 1943, Apr Average, Canada, CAN
3.3, 1943, May Average, Canada, CAN
11.0, 1943, Jun Average, Canada, CAN
16.3, 1943, Jul Average, Canada, CAN
14.0, 1943, Aug Average, Canada, CAN
8.1, 1943, Sep Average, Canada, CAN
1.4, 1943, Oct Average, Canada, CAN
-7.3, 1943, Nov Average, Canada, CAN
-14.2, 1943, Dec Average, Canada, CAN
-15.0, 1944, Jan Average, Canada, CAN
-18.4, 1944, Feb Average, Canada, CAN
-14.6, 1944, Mar Average, Canada, CAN
-2.6, 1944, Apr Average, Canada, CAN
5.6, 1944, May Average, Canada, CAN
11.8, 1944, Jun Average, Canada, CAN
15.8, 1944, Jul Average, Canada, CAN
14.2, 1944, Aug Average, Canada, CAN
8.3, 1944, Sep Average, Canada, CAN
1.0, 1944, Oct Average, Canada, CAN
-10.0, 1944, Nov Average, Canada, CAN
-15.0, 1944, Dec Average, Canada, CAN
-18.0, 1945, Jan Average, Canada, CAN
-17.2, 1945, Feb Average, Canada, CAN
-10.7, 1945, Mar Average, Canada, CAN
-7.5, 1945, Apr Average, Canada, CAN
3.3, 1945, May Average, Canada, CAN
10.8, 1945, Jun Average, Canada, CAN
16.0, 1945, Jul Average, Canada, CAN
14.7, 1945, Aug Average, Canada, CAN
6.1, 1945, Sep Average, Canada, CAN
-0.3, 1945, Oct Average, Canada, CAN
-13.0, 1945, Nov Average, Canada, CAN
-18.6, 1945, Dec Average, Canada, CAN
-20.2, 1946, Jan Average, Canada, CAN
-20.5, 1946, Feb Average, Canada, CAN
-10.2, 1946, Mar Average, Canada, CAN
-4.2, 1946, Apr Average, Canada, CAN
4.4, 1946, May Average, Canada, CAN
11.4, 1946, Jun Average, Canada, CAN
16.0, 1946, Jul Average, Canada, CAN
14.5, 1946, Aug Average, Canada, CAN
7.5, 1946, Sep Average, Canada, CAN
-1.5, 1946, Oct Average, Canada, CAN
-11.6, 1946, Nov Average, Canada, CAN
-18.8, 1946, Dec Average, Canada, CAN
-19.4, 1947, Jan Average, Canada, CAN
-18.4, 1947, Feb Average, Canada, CAN
