tasmax, Year, Statistics, Country, ISO3
21.9, 1939, Jun Average, Germany, DEU
22.2, 1939, Jul Average, Germany, DEU
23.1, 1939, Aug Average, Germany, DEU
18.2, 1939, Sep Average, Germany, DEU
9.8, 1939, Oct Average, Germany, DEU
8.3, 1939, Nov Average, Germany, DEU
1.1, 1939, Dec Average, Germany, DEU
-3.7, 1940, Jan Average, Germany, DEU
0.0, 1940, Feb Average, Germany, DEU
6.6, 1940, Mar Average, Germany, DEU
12.7, 1940, Apr Average, Germany, DEU
17.1, 1940, May Average, Germany, DEU
22.1, 1940, Jun Average, Germany, DEU
21.0, 1940, Jul Average, Germany, DEU
19.5, 1940, Aug Average, Germany, DEU
17.1, 1940, Sep Average, Germany, DEU
11.7, 1940, Oct Average, Germany, DEU
8.1, 1940, Nov Average, Germany, DEU
-0.2, 1940, Dec Average, Germany, DEU
-2.4, 1941, Jan Average, Germany, DEU
2.7, 1941, Feb Average, Germany, DEU
7.5, 1941, Mar Average, Germany, DEU
9.9, 1941, Apr Average, Germany, DEU
14.2, 1941, May Average, Germany, DEU
21.7, 1941, Jun Average, Germany, DEU
23.8, 1941, Jul Average, Germany, DEU
19.8, 1941, Aug Average, Germany, DEU
17.9, 1941, Sep Average, Germany, DEU
11.3, 1941, Oct Average, Germany, DEU
4.6, 1941, Nov Average, Germany, DEU
3.7, 1941, Dec Average, Germany, DEU
-4.3, 1942, Jan Average, Germany, DEU
-2.1, 1942, Feb Average, Germany, DEU
6.2, 1942, Mar Average, Germany, DEU
12.4, 1942, Apr Average, Germany, DEU
17.3, 1942, May Average, Germany, DEU
19.9, 1942, Jun Average, Germany, DEU
21.0, 1942, Jul Average, Germany, DEU
23.5, 1942, Aug Average, Germany, DEU
20.3, 1942, Sep Average, Germany, DEU
15.1, 1942, Oct Average, Germany, DEU
5.4, 1942, Nov Average, Germany, DEU
4.8, 1942, Dec Average, Germany, DEU
2.4, 1943, Jan Average, Germany, DEU
6.4, 1943, Feb Average, Germany, DEU
11.0, 1943, Mar Average, Germany, DEU
14.4, 1943, Apr Average, Germany, DEU
18.8, 1943, May Average, Germany, DEU
19.5, 1943, Jun Average, Germany, DEU
23.4, 1943, Jul Average, Germany, DEU
23.4, 1943, Aug Average, Germany, DEU
19.0, 1943, Sep Average, Germany, DEU
15.0, 1943, Oct Average, Germany, DEU
5.7, 1943, Nov Average, Germany, DEU
2.5, 1943, Dec Average, Germany, DEU
4.9, 1944, Jan Average, Germany, DEU
1.8, 1944, Feb Average, Germany, DEU
4.6, 1944, Mar Average, Germany, DEU
