tasmax, Year, Statistics, Country, ISO3
13.95, 1949, Apr Average, China, CHN
20.21, 1949, May Average, China, CHN
23.12, 1949, Jun Average, China, CHN
25.96, 1949, Jul Average, China, CHN
24.93, 1949, Aug Average, China, CHN
20.19, 1949, Sep Average, China, CHN
13.52, 1949, Oct Average, China, CHN
4.69, 1949, Nov Average, China, CHN
-1.14, 1949, Dec Average, China, CHN
-2.24, 1950, Jan Average, China, CHN
0.18, 1950, Feb Average, China, CHN
6.08, 1950, Mar Average, China, CHN
12.90, 1950, Apr Average, China, CHN
20.95, 1950, May Average, China, CHN
23.63, 1950, Jun Average, China, CHN
25.25, 1950, Jul Average, China, CHN
25.22, 1950, Aug Average, China, CHN
20.16, 1950, Sep Average, China, CHN
15.16, 1950, Oct Average, China, CHN
6.51, 1950, Nov Average, China, CHN
2.62, 1950, Dec Average, China, CHN
-0.17, 1951, Jan Average, China, CHN
0.24, 1951, Feb Average, China, CHN
6.86, 1951, Mar Average, China, CHN
15.17, 1951, Apr Average, China, CHN
19.80, 1951, May Average, China, CHN
23.99, 1951, Jun Average, China, CHN
25.55, 1951, Jul Average, China, CHN
24.16, 1951, Aug Average, China, CHN
20.57, 1951, Sep Average, China, CHN
13.48, 1951, Oct Average, China, CHN
5.61, 1951, Nov Average, China, CHN
-1.47, 1951, Dec Average, China, CHN
-1.83, 1952, Jan Average, China, CHN
1.92, 1952, Feb Average, China, CHN
8.62, 1952, Mar Average, China, CHN
13.55, 1952, Apr Average, China, CHN
20.22, 1952, May Average, China, CHN
23.88, 1952, Jun Average, China, CHN
25.78, 1952, Jul Average, China, CHN
24.95, 1952, Aug Average, China, CHN
20.69, 1952, Sep Average, China, CHN
14.46, 1952, Oct Average, China, CHN
5.58, 1952, Nov Average, China, CHN
0.19, 1952, Dec Average, China, CHN
-2.23, 1953, Jan Average, China, CHN
1.76, 1953, Feb Average, China, CHN
6.37, 1953, Mar Average, China, CHN
14.65, 1953, Apr Average, China, CHN
18.64, 1953, May Average, China, CHN
22.41, 1953, Jun Average, China, CHN
24.34, 1953, Jul Average, China, CHN
24.08, 1953, Aug Average, China, CHN
20.48, 1953, Sep Average, China, CHN
13.53, 1953, Oct Average, China, CHN
7.34, 1953, Nov Average, China, CHN
-3.51, 1953, Dec Average, China, CHN
-3.21, 1954, Jan Average, China, CHN
2.04, 1954, Feb Average, China, CHN
6.64, 1954, Mar Average, China, CHN
13.00, 1954, Apr Average, China, CHN
19.60, 1954, May Average, China, CHN
23.40, 1954, Jun Average, China, CHN
25.05, 1954, Jul Average, China, CHN
24.80, 1954, Aug Average, China, CHN
20.60, 1954, Sep Average, China, CHN
13.81, 1954, Oct Average, China, CHN
6.64, 1954, Nov Average, China, CHN
2.76, 1954, Dec Average, China, CHN
-3.14, 1955, Jan Average, China, CHN
1.00, 1955, Feb Average, China, CHN
6.65, 1955, Mar Average, China, CHN
14.94, 1955, Apr Average, China, CHN
19.19, 1955, May Average, China, CHN
22.61, 1955, Jun Average, China, CHN
25.37, 1955, Jul Average, China, CHN
23.81, 1955, Aug Average, China, CHN
20.87, 1955, Sep Average, China, CHN
13.76, 1955, Oct Average, China, CHN
5.06, 1955, Nov Average, China, CHN
-1.41, 1955, Dec Average, China, CHN
-2.19, 1956, Jan Average, China, CHN
-2.22, 1956, Feb Average, China, CHN
6.50, 1956, Mar Average, China, CHN
13.72, 1956, Apr Average, China, CHN
18.50, 1956, May Average, China, CHN
22.84, 1956, Jun Average, China, CHN
24.73, 1956, Jul Average, China, CHN
23.92, 1956, Aug Average, China, CHN
19.25, 1956, Sep Average, China, CHN
13.61, 1956, Oct Average, China, CHN
7.52, 1956, Nov Average, China, CHN
1.39, 1956, Dec Average, China, CHN
-2.10, 1957, Jan Average, China, CHN
1.48, 1957, Feb Average, China, CHN
8.16, 1957, Mar Average, China, CHN
15.08, 1957, Apr Average, China, CHN
18.76, 1957, May Average, China, CHN
23.37, 1957, Jun Average, China, CHN
25.60, 1957, Jul Average, China, CHN
23.09, 1957, Aug Average, China, CHN
20.48, 1957, Sep Average, China, CHN
13.28, 1957, Oct Average, China, CHN
6.84, 1957, Nov Average, China, CHN
2.47, 1957, Dec Average, China, CHN
-2.00, 1958, Jan Average, China, CHN
0.97, 1958, Feb Average, China, CHN
8.26, 1958, Mar Average, China, CHN
15.24, 1958, Apr Average, China, CHN
18.60, 1958, May Average, China, CHN
22.78, 1958, Jun Average, China, CHN
25.53, 1958, Jul Average, China, CHN
24.59, 1958, Aug Average, China, CHN
20.70, 1958, Sep Average, China, CHN
14.99, 1958, Oct Average, China, CHN
5.30, 1958, Nov Average, China, CHN
0.04, 1958, Dec Average, China, CHN
