Rainfall - (MM), Year, Statistics, Country, ISO3
34.0, 1933, Apr Average, France, FRA
69.9, 1933, May Average, France, FRA
88.1, 1933, Jun Average, France, FRA
38.7, 1933, Jul Average, France, FRA
30.7, 1933, Aug Average, France, FRA
111.4, 1933, Sep Average, France, FRA
93.5, 1933, Oct Average, France, FRA
76.4, 1933, Nov Average, France, FRA
51.1, 1933, Dec Average, France, FRA
50.5, 1934, Jan Average, France, FRA
17.7, 1934, Feb Average, France, FRA
81.1, 1934, Mar Average, France, FRA
89.7, 1934, Apr Average, France, FRA
33.4, 1934, May Average, France, FRA
57.8, 1934, Jun Average, France, FRA
34.0, 1934, Jul Average, France, FRA
82.6, 1934, Aug Average, France, FRA
46.2, 1934, Sep Average, France, FRA
61.6, 1934, Oct Average, France, FRA
114.4, 1934, Nov Average, France, FRA
119.2, 1934, Dec Average, France, FRA
43.8, 1935, Jan Average, France, FRA
83.8, 1935, Feb Average, France, FRA
53.6, 1935, Mar Average, France, FRA
82.4, 1935, Apr Average, France, FRA
74.0, 1935, May Average, France, FRA
60.2, 1935, Jun Average, France, FRA
30.6, 1935, Jul Average, France, FRA
87.0, 1935, Aug Average, France, FRA
68.5, 1935, Sep Average, France, FRA
99.4, 1935, Oct Average, France, FRA
125.4, 1935, Nov Average, France, FRA
134.0, 1935, Dec Average, France, FRA
125.8, 1936, Jan Average, France, FRA
79.1, 1936, Feb Average, France, FRA
67.5, 1936, Mar Average, France, FRA
90.1, 1936, Apr Average, France, FRA
59.1, 1936, May Average, France, FRA
83.0, 1936, Jun Average, France, FRA
103.2, 1936, Jul Average, France, FRA
35.7, 1936, Aug Average, France, FRA
86.0, 1936, Sep Average, France, FRA
46.1, 1936, Oct Average, France, FRA
76.9, 1936, Nov Average, France, FRA
39.7, 1936, Dec Average, France, FRA
85.5, 1937, Jan Average, France, FRA
106.2, 1937, Feb Average, France, FRA
119.5, 1937, Mar Average, France, FRA
79.5, 1937, Apr Average, France, FRA
78.0, 1937, May Average, France, FRA
73.1, 1937, Jun Average, France, FRA
25.8, 1937, Jul Average, France, FRA
44.7, 1937, Aug Average, France, FRA
82.9, 1937, Sep Average, France, FRA
84.2, 1937, Oct Average, France, FRA
57.5, 1937, Nov Average, France, FRA
79.9, 1937, Dec Average, France, FRA
79.5, 1938, Jan Average, France, FRA
26.5, 1938, Feb Average, France, FRA
13.5, 1938, Mar Average, France, FRA
13.2, 1938, Apr Average, France, FRA
84.4, 1938, May Average, France, FRA
50.4, 1938, Jun Average, France, FRA
70.8, 1938, Jul Average, France, FRA
76.8, 1938, Aug Average, France, FRA
84.7, 1938, Sep Average, France, FRA
69.6, 1938, Oct Average, France, FRA
82.3, 1938, Nov Average, France, FRA
83.9, 1938, Dec Average, France, FRA
102.8, 1939, Jan Average, France, FRA
47.1, 1939, Feb Average, France, FRA
61.9, 1939, Mar Average, France, FRA
75.3, 1939, Apr Average, France, FRA
69.2, 1939, May Average, France, FRA
79.7, 1939, Jun Average, France, FRA
65.4, 1939, Jul Average, France, FRA
88.4, 1939, Aug Average, France, FRA
65.4, 1939, Sep Average, France, FRA
140.2, 1939, Oct Average, France, FRA
94.7, 1939, Nov Average, France, FRA
71.5, 1939, Dec Average, France, FRA
58.7, 1940, Jan Average, France, FRA
63.8, 1940, Feb Average, France, FRA
57.6, 1940, Mar Average, France, FRA
83.1, 1940, Apr Average, France, FRA
67.7, 1940, May Average, France, FRA
75.5, 1940, Jun Average, France, FRA
88.5, 1940, Jul Average, France, FRA
30.1, 1940, Aug Average, France, FRA
95.2, 1940, Sep Average, France, FRA
93.5, 1940, Oct Average, France, FRA
98.7, 1940, Nov Average, France, FRA
78.1, 1940, Dec Average, France, FRA
106.4, 1941, Jan Average, France, FRA
88.6, 1941, Feb Average, France, FRA
63.5, 1941, Mar Average, France, FRA
64.0, 1941, Apr Average, France, FRA
84.9, 1941, May Average, France, FRA
87.0, 1941, Jun Average, France, FRA
62.2, 1941, Jul Average, France, FRA
102.2, 1941, Aug Average, France, FRA
53.3, 1941, Sep Average, France, FRA
50.2, 1941, Oct Average, France, FRA
83.9, 1941, Nov Average, France, FRA
38.9, 1941, Dec Average, France, FRA
82.5, 1942, Jan Average, France, FRA
37.3, 1942, Feb Average, France, FRA
61.9, 1942, Mar Average, France, FRA
60.8, 1942, Apr Average, France, FRA
73.0, 1942, May Average, France, FRA
56.1, 1942, Jun Average, France, FRA
53.5, 1942, Jul Average, France, FRA
55.8, 1942, Aug Average, France, FRA
92.1, 1942, Sep Average, France, FRA
86.9, 1942, Oct Average, France, FRA
