tasmin, Year, Statistics, Country, ISO3
15.0, 1937, Aug Average, Turkey, TUR
12.6, 1937, Sep Average, Turkey, TUR
7.6, 1937, Oct Average, Turkey, TUR
3.7, 1937, Nov Average, Turkey, TUR
-0.8, 1937, Dec Average, Turkey, TUR
-4.4, 1938, Jan Average, Turkey, TUR
-4.4, 1938, Feb Average, Turkey, TUR
-3.2, 1938, Mar Average, Turkey, TUR
4.2, 1938, Apr Average, Turkey, TUR
7.8, 1938, May Average, Turkey, TUR
11.7, 1938, Jun Average, Turkey, TUR
15.8, 1938, Jul Average, Turkey, TUR
15.6, 1938, Aug Average, Turkey, TUR
11.7, 1938, Sep Average, Turkey, TUR
6.1, 1938, Oct Average, Turkey, TUR
1.6, 1938, Nov Average, Turkey, TUR
-0.2, 1938, Dec Average, Turkey, TUR
-2.8, 1939, Jan Average, Turkey, TUR
-3.8, 1939, Feb Average, Turkey, TUR
-0.8, 1939, Mar Average, Turkey, TUR
3.9, 1939, Apr Average, Turkey, TUR
8.9, 1939, May Average, Turkey, TUR
11.5, 1939, Jun Average, Turkey, TUR
15.1, 1939, Jul Average, Turkey, TUR
14.5, 1939, Aug Average, Turkey, TUR
10.7, 1939, Sep Average, Turkey, TUR
7.9, 1939, Oct Average, Turkey, TUR
1.7, 1939, Nov Average, Turkey, TUR
-1.1, 1939, Dec Average, Turkey, TUR
-5.5, 1940, Jan Average, Turkey, TUR
-2.0, 1940, Feb Average, Turkey, TUR
-2.2, 1940, Mar Average, Turkey, TUR
4.6, 1940, Apr Average, Turkey, TUR
7.4, 1940, May Average, Turkey, TUR
11.5, 1940, Jun Average, Turkey, TUR
15.0, 1940, Jul Average, Turkey, TUR
14.8, 1940, Aug Average, Turkey, TUR
10.3, 1940, Sep Average, Turkey, TUR
7.4, 1940, Oct Average, Turkey, TUR
3.1, 1940, Nov Average, Turkey, TUR
-0.8, 1940, Dec Average, Turkey, TUR
-3.7, 1941, Jan Average, Turkey, TUR
-0.8, 1941, Feb Average, Turkey, TUR
-0.1, 1941, Mar Average, Turkey, TUR
5.1, 1941, Apr Average, Turkey, TUR
8.7, 1941, May Average, Turkey, TUR
12.1, 1941, Jun Average, Turkey, TUR
14.9, 1941, Jul Average, Turkey, TUR
13.8, 1941, Aug Average, Turkey, TUR
10.1, 1941, Sep Average, Turkey, TUR
4.2, 1941, Oct Average, Turkey, TUR
0.6, 1941, Nov Average, Turkey, TUR
-6.8, 1941, Dec Average, Turkey, TUR
-7.2, 1942, Jan Average, Turkey, TUR
-2.6, 1942, Feb Average, Turkey, TUR
-2.0, 1942, Mar Average, Turkey, TUR
3.0, 1942, Apr Average, Turkey, TUR
8.6, 1942, May Average, Turkey, TUR
12.6, 1942, Jun Average, Turkey, TUR
14.4, 1942, Jul Average, Turkey, TUR
14.7, 1942, Aug Average, Turkey, TUR
10.9, 1942, Sep Average, Turkey, TUR
7.5, 1942, Oct Average, Turkey, TUR
2.7, 1942, Nov Average, Turkey, TUR
-3.6, 1942, Dec Average, Turkey, TUR
-4.7, 1943, Jan Average, Turkey, TUR
-5.6, 1943, Feb Average, Turkey, TUR
-3.3, 1943, Mar Average, Turkey, TUR
2.7, 1943, Apr Average, Turkey, TUR
7.5, 1943, May Average, Turkey, TUR
10.4, 1943, Jun Average, Turkey, TUR
13.3, 1943, Jul Average, Turkey, TUR
14.7, 1943, Aug Average, Turkey, TUR
10.9, 1943, Sep Average, Turkey, TUR
9.0, 1943, Oct Average, Turkey, TUR
4.2, 1943, Nov Average, Turkey, TUR
-1.5, 1943, Dec Average, Turkey, TUR
-5.4, 1944, Jan Average, Turkey, TUR
-2.3, 1944, Feb Average, Turkey, TUR
0.6, 1944, Mar Average, Turkey, TUR
3.7, 1944, Apr Average, Turkey, TUR
7.1, 1944, May Average, Turkey, TUR
11.6, 1944, Jun Average, Turkey, TUR
14.3, 1944, Jul Average, Turkey, TUR
13.4, 1944, Aug Average, Turkey, TUR
10.7, 1944, Sep Average, Turkey, TUR
7.7, 1944, Oct Average, Turkey, TUR
2.9, 1944, Nov Average, Turkey, TUR
-1.9, 1944, Dec Average, Turkey, TUR
-4.1, 1945, Jan Average, Turkey, TUR
-5.8, 1945, Feb Average, Turkey, TUR
-3.0, 1945, Mar Average, Turkey, TUR
2.4, 1945, Apr Average, Turkey, TUR
8.6, 1945, May Average, Turkey, TUR
11.0, 1945, Jun Average, Turkey, TUR
14.4, 1945, Jul Average, Turkey, TUR
14.6, 1945, Aug Average, Turkey, TUR
11.0, 1945, Sep Average, Turkey, TUR
5.5, 1945, Oct Average, Turkey, TUR
1.7, 1945, Nov Average, Turkey, TUR
-2.8, 1945, Dec Average, Turkey, TUR
-5.7, 1946, Jan Average, Turkey, TUR
-3.4, 1946, Feb Average, Turkey, TUR
-0.2, 1946, Mar Average, Turkey, TUR
3.7, 1946, Apr Average, Turkey, TUR
8.6, 1946, May Average, Turkey, TUR
12.3, 1946, Jun Average, Turkey, TUR
14.3, 1946, Jul Average, Turkey, TUR
15.1, 1946, Aug Average, Turkey, TUR
12.2, 1946, Sep Average, Turkey, TUR
4.7, 1946, Oct Average, Turkey, TUR
2.8, 1946, Nov Average, Turkey, TUR
-1.8, 1946, Dec Average, Turkey, TUR
-5.1, 1947, Jan Average, Turkey, TUR
-2.9, 1947, Feb Average, Turkey, TUR
2.0, 1947, Mar Average, Turkey, TUR
4.5, 1947, Apr Average, Turkey, TUR
8.5, 1947, May Average, Turkey, TUR
12.1, 1947, Jun Average, Turkey, TUR
15.4, 1947, Jul Average, Turkey, TUR
14.1, 1947, Aug Average, Turkey, TUR
10.5, 1947, Sep Average, Turkey, TUR
5.2, 1947, Oct Average, Turkey, TUR
3.7, 1947, Nov Average, Turkey, TUR
-0.1, 1947, Dec Average, Turkey, TUR
-1.3, 1948, Jan Average, Turkey, TUR
-2.8, 1948, Feb Average, Turkey, TUR
