Temperature - (Celsius), Year, Statistics, Country, ISO3
27.6, 1928, Apr Average, India, IND
30.6, 1928, May Average, India, IND
29.1, 1928, Jun Average, India, IND
26.9, 1928, Jul Average, India, IND
26.7, 1928, Aug Average, India, IND
26.3, 1928, Sep Average, India, IND
24.8, 1928, Oct Average, India, IND
20.9, 1928, Nov Average, India, IND
17.4, 1928, Dec Average, India, IND
17.0, 1929, Jan Average, India, IND
18.3, 1929, Feb Average, India, IND
24.5, 1929, Mar Average, India, IND
27.7, 1929, Apr Average, India, IND
30.6, 1929, May Average, India, IND
29.2, 1929, Jun Average, India, IND
26.9, 1929, Jul Average, India, IND
26.1, 1929, Aug Average, India, IND
26.4, 1929, Sep Average, India, IND
24.3, 1929, Oct Average, India, IND
20.8, 1929, Nov Average, India, IND
17.0, 1929, Dec Average, India, IND
16.7, 1930, Jan Average, India, IND
18.5, 1930, Feb Average, India, IND
23.9, 1930, Mar Average, India, IND
27.2, 1930, Apr Average, India, IND
29.8, 1930, May Average, India, IND
29.2, 1930, Jun Average, India, IND
26.6, 1930, Jul Average, India, IND
26.2, 1930, Aug Average, India, IND
26.4, 1930, Sep Average, India, IND
24.8, 1930, Oct Average, India, IND
20.1, 1930, Nov Average, India, IND
17.7, 1930, Dec Average, India, IND
18.0, 1931, Jan Average, India, IND
18.9, 1931, Feb Average, India, IND
23.4, 1931, Mar Average, India, IND
28.7, 1931, Apr Average, India, IND
30.2, 1931, May Average, India, IND
30.3, 1931, Jun Average, India, IND
27.1, 1931, Jul Average, India, IND
26.8, 1931, Aug Average, India, IND
26.0, 1931, Sep Average, India, IND
24.3, 1931, Oct Average, India, IND
20.3, 1931, Nov Average, India, IND
17.7, 1931, Dec Average, India, IND
17.9, 1932, Jan Average, India, IND
18.4, 1932, Feb Average, India, IND
23.6, 1932, Mar Average, India, IND
27.6, 1932, Apr Average, India, IND
29.6, 1932, May Average, India, IND
29.9, 1932, Jun Average, India, IND
27.1, 1932, Jul Average, India, IND
26.4, 1932, Aug Average, India, IND
26.3, 1932, Sep Average, India, IND
25.0, 1932, Oct Average, India, IND
20.7, 1932, Nov Average, India, IND
17.4, 1932, Dec Average, India, IND
16.5, 1933, Jan Average, India, IND
19.8, 1933, Feb Average, India, IND
23.7, 1933, Mar Average, India, IND
26.6, 1933, Apr Average, India, IND
28.3, 1933, May Average, India, IND
28.5, 1933, Jun Average, India, IND
27.0, 1933, Jul Average, India, IND
25.8, 1933, Aug Average, India, IND
25.7, 1933, Sep Average, India, IND
24.2, 1933, Oct Average, India, IND
20.6, 1933, Nov Average, India, IND
17.7, 1933, Dec Average, India, IND
16.1, 1934, Jan Average, India, IND
19.6, 1934, Feb Average, India, IND
23.1, 1934, Mar Average, India, IND
27.8, 1934, Apr Average, India, IND
29.9, 1934, May Average, India, IND
29.1, 1934, Jun Average, India, IND
26.9, 1934, Jul Average, India, IND
26.1, 1934, Aug Average, India, IND
26.1, 1934, Sep Average, India, IND
24.0, 1934, Oct Average, India, IND
19.9, 1934, Nov Average, India, IND
17.6, 1934, Dec Average, India, IND
16.2, 1935, Jan Average, India, IND
19.3, 1935, Feb Average, India, IND
23.6, 1935, Mar Average, India, IND
26.0, 1935, Apr Average, India, IND
30.6, 1935, May Average, India, IND
29.9, 1935, Jun Average, India, IND
26.8, 1935, Jul Average, India, IND
26.0, 1935, Aug Average, India, IND
25.8, 1935, Sep Average, India, IND
24.5, 1935, Oct Average, India, IND
20.6, 1935, Nov Average, India, IND
17.7, 1935, Dec Average, India, IND
16.9, 1936, Jan Average, India, IND
19.2, 1936, Feb Average, India, IND
23.4, 1936, Mar Average, India, IND
27.4, 1936, Apr Average, India, IND
30.6, 1936, May Average, India, IND
27.8, 1936, Jun Average, India, IND
26.8, 1936, Jul Average, India, IND
26.3, 1936, Aug Average, India, IND
26.1, 1936, Sep Average, India, IND
24.5, 1936, Oct Average, India, IND
21.0, 1936, Nov Average, India, IND
17.5, 1936, Dec Average, India, IND
