Rainfall - (MM), Year, Statistics, Country, ISO3
9.4, 1958, Feb Average, India, IND
12.1, 1958, Mar Average, India, IND
33.7, 1958, Apr Average, India, IND
48.7, 1958, May Average, India, IND
94.3, 1958, Jun Average, India, IND
295.1, 1958, Jul Average, India, IND
283.2, 1958, Aug Average, India, IND
189.4, 1958, Sep Average, India, IND
87.3, 1958, Oct Average, India, IND
34.4, 1958, Nov Average, India, IND
7.9, 1958, Dec Average, India, IND
20.1, 1959, Jan Average, India, IND
11.2, 1959, Feb Average, India, IND
12.8, 1959, Mar Average, India, IND
32.5, 1959, Apr Average, India, IND
66.4, 1959, May Average, India, IND
172.3, 1959, Jun Average, India, IND
306.4, 1959, Jul Average, India, IND
249.7, 1959, Aug Average, India, IND
210.3, 1959, Sep Average, India, IND
101.9, 1959, Oct Average, India, IND
22.8, 1959, Nov Average, India, IND
4.4, 1959, Dec Average, India, IND
12.0, 1960, Jan Average, India, IND
2.9, 1960, Feb Average, India, IND
22.6, 1960, Mar Average, India, IND
17.1, 1960, Apr Average, India, IND
46.8, 1960, May Average, India, IND
132.5, 1960, Jun Average, India, IND
286.7, 1960, Jul Average, India, IND
219.0, 1960, Aug Average, India, IND
153.5, 1960, Sep Average, India, IND
59.2, 1960, Oct Average, India, IND
32.0, 1960, Nov Average, India, IND
5.8, 1960, Dec Average, India, IND
21.2, 1961, Jan Average, India, IND
22.1, 1961, Feb Average, India, IND
9.0, 1961, Mar Average, India, IND
21.6, 1961, Apr Average, India, IND
61.2, 1961, May Average, India, IND
187.4, 1961, Jun Average, India, IND
279.6, 1961, Jul Average, India, IND
273.2, 1961, Aug Average, India, IND
200.1, 1961, Sep Average, India, IND
103.2, 1961, Oct Average, India, IND
15.4, 1961, Nov Average, India, IND
7.6, 1961, Dec Average, India, IND
14.0, 1962, Jan Average, India, IND
15.7, 1962, Feb Average, India, IND
15.5, 1962, Mar Average, India, IND
34.0, 1962, Apr Average, India, IND
55.4, 1962, May Average, India, IND
