Rainfall - (MM), Year, Statistics, Country, ISO3
67.4, 1938, Sep Average, Brazil, BRA
122.8, 1938, Oct Average, Brazil, BRA
147.9, 1938, Nov Average, Brazil, BRA
197.8, 1938, Dec Average, Brazil, BRA
216.4, 1939, Jan Average, Brazil, BRA
213.2, 1939, Feb Average, Brazil, BRA
228.8, 1939, Mar Average, Brazil, BRA
180.5, 1939, Apr Average, Brazil, BRA
131.6, 1939, May Average, Brazil, BRA
76.4, 1939, Jun Average, Brazil, BRA
76.8, 1939, Jul Average, Brazil, BRA
59.3, 1939, Aug Average, Brazil, BRA
81.0, 1939, Sep Average, Brazil, BRA
113.4, 1939, Oct Average, Brazil, BRA
158.7, 1939, Nov Average, Brazil, BRA
183.4, 1939, Dec Average, Brazil, BRA
240.3, 1940, Jan Average, Brazil, BRA
223.9, 1940, Feb Average, Brazil, BRA
244.7, 1940, Mar Average, Brazil, BRA
171.5, 1940, Apr Average, Brazil, BRA
138.6, 1940, May Average, Brazil, BRA
83.8, 1940, Jun Average, Brazil, BRA
59.0, 1940, Jul Average, Brazil, BRA
62.4, 1940, Aug Average, Brazil, BRA
82.5, 1940, Sep Average, Brazil, BRA
116.7, 1940, Oct Average, Brazil, BRA
155.2, 1940, Nov Average, Brazil, BRA
188.4, 1940, Dec Average, Brazil, BRA
204.8, 1941, Jan Average, Brazil, BRA
218.2, 1941, Feb Average, Brazil, BRA
251.6, 1941, Mar Average, Brazil, BRA
163.8, 1941, Apr Average, Brazil, BRA
100.9, 1941, May Average, Brazil, BRA
76.3, 1941, Jun Average, Brazil, BRA
60.5, 1941, Jul Average, Brazil, BRA
57.4, 1941, Aug Average, Brazil, BRA
80.3, 1941, Sep Average, Brazil, BRA
124.1, 1941, Oct Average, Brazil, BRA
156.6, 1941, Nov Average, Brazil, BRA
186.8, 1941, Dec Average, Brazil, BRA
203.4, 1942, Jan Average, Brazil, BRA
218.8, 1942, Feb Average, Brazil, BRA
216.4, 1942, Mar Average, Brazil, BRA
167.5, 1942, Apr Average, Brazil, BRA
119.3, 1942, May Average, Brazil, BRA
80.6, 1942, Jun Average, Brazil, BRA
52.4, 1942, Jul Average, Brazil, BRA
51.7, 1942, Aug Average, Brazil, BRA
89.6, 1942, Sep Average, Brazil, BRA
129.6, 1942, Oct Average, Brazil, BRA
158.5, 1942, Nov Average, Brazil, BRA
203.2, 1942, Dec Average, Brazil, BRA
238.8, 1943, Jan Average, Brazil, BRA
194.1, 1943, Feb Average, Brazil, BRA
246.4, 1943, Mar Average, Brazil, BRA
176.0, 1943, Apr Average, Brazil, BRA
113.6, 1943, May Average, Brazil, BRA
77.6, 1943, Jun Average, Brazil, BRA
60.0, 1943, Jul Average, Brazil, BRA
52.0, 1943, Aug Average, Brazil, BRA
67.7, 1943, Sep Average, Brazil, BRA
121.7, 1943, Oct Average, Brazil, BRA
172.4, 1943, Nov Average, Brazil, BRA
213.0, 1943, Dec Average, Brazil, BRA
206.9, 1944, Jan Average, Brazil, BRA
215.5, 1944, Feb Average, Brazil, BRA
219.3, 1944, Mar Average, Brazil, BRA
191.7, 1944, Apr Average, Brazil, BRA
117.9, 1944, May Average, Brazil, BRA
76.7, 1944, Jun Average, Brazil, BRA
58.9, 1944, Jul Average, Brazil, BRA
50.2, 1944, Aug Average, Brazil, BRA
77.5, 1944, Sep Average, Brazil, BRA
120.4, 1944, Oct Average, Brazil, BRA
159.1, 1944, Nov Average, Brazil, BRA
228.3, 1944, Dec Average, Brazil, BRA
232.8, 1945, Jan Average, Brazil, BRA
233.9, 1945, Feb Average, Brazil, BRA
248.4, 1945, Mar Average, Brazil, BRA
200.8, 1945, Apr Average, Brazil, BRA
142.4, 1945, May Average, Brazil, BRA
79.6, 1945, Jun Average, Brazil, BRA
68.9, 1945, Jul Average, Brazil, BRA
41.7, 1945, Aug Average, Brazil, BRA
72.4, 1945, Sep Average, Brazil, BRA
134.6, 1945, Oct Average, Brazil, BRA
168.5, 1945, Nov Average, Brazil, BRA
210.1, 1945, Dec Average, Brazil, BRA
219.5, 1946, Jan Average, Brazil, BRA
208.0, 1946, Feb Average, Brazil, BRA
221.8, 1946, Mar Average, Brazil, BRA
162.3, 1946, Apr Average, Brazil, BRA
139.4, 1946, May Average, Brazil, BRA
74.5, 1946, Jun Average, Brazil, BRA
66.2, 1946, Jul Average, Brazil, BRA
51.6, 1946, Aug Average, Brazil, BRA
69.8, 1946, Sep Average, Brazil, BRA
106.3, 1946, Oct Average, Brazil, BRA
175.3, 1946, Nov Average, Brazil, BRA
174.3, 1946, Dec Average, Brazil, BRA
229.8, 1947, Jan Average, Brazil, BRA
221.5, 1947, Feb Average, Brazil, BRA
267.6, 1947, Mar Average, Brazil, BRA
178.4, 1947, Apr Average, Brazil, BRA
130.1, 1947, May Average, Brazil, BRA
80.7, 1947, Jun Average, Brazil, BRA
71.9, 1947, Jul Average, Brazil, BRA
57.5, 1947, Aug Average, Brazil, BRA
78.6, 1947, Sep Average, Brazil, BRA
137.2, 1947, Oct Average, Brazil, BRA
197.3, 1947, Nov Average, Brazil, BRA
212.8, 1947, Dec Average, Brazil, BRA
215.1, 1948, Jan Average, Brazil, BRA
216.5, 1948, Feb Average, Brazil, BRA
264.9, 1948, Mar Average, Brazil, BRA
160.6, 1948, Apr Average, Brazil, BRA
120.0, 1948, May Average, Brazil, BRA
77.5, 1948, Jun Average, Brazil, BRA
63.9, 1948, Jul Average, Brazil, BRA
46.3, 1948, Aug Average, Brazil, BRA
76.5, 1948, Sep Average, Brazil, BRA
121.7, 1948, Oct Average, Brazil, BRA
150.6, 1948, Nov Average, Brazil, BRA
247.4, 1948, Dec Average, Brazil, BRA
235.1, 1949, Jan Average, Brazil, BRA
212.7, 1949, Feb Average, Brazil, BRA
213.9, 1949, Mar Average, Brazil, BRA
197.2, 1949, Apr Average, Brazil, BRA
130.0, 1949, May Average, Brazil, BRA
86.3, 1949, Jun Average, Brazil, BRA
67.2, 1949, Jul Average, Brazil, BRA
60.6, 1949, Aug Average, Brazil, BRA
70.4, 1949, Sep Average, Brazil, BRA
127.5, 1949, Oct Average, Brazil, BRA
170.5, 1949, Nov Average, Brazil, BRA
181.4, 1949, Dec Average, Brazil, BRA
218.9, 1950, Jan Average, Brazil, BRA
216.7, 1950, Feb Average, Brazil, BRA
263.8, 1950, Mar Average, Brazil, BRA
200.2, 1950, Apr Average, Brazil, BRA
124.5, 1950, May Average, Brazil, BRA
76.6, 1950, Jun Average, Brazil, BRA
69.7, 1950, Jul Average, Brazil, BRA
45.8, 1950, Aug Average, Brazil, BRA
58.0, 1950, Sep Average, Brazil, BRA
119.7, 1950, Oct Average, Brazil, BRA
155.5, 1950, Nov Average, Brazil, BRA
208.9, 1950, Dec Average, Brazil, BRA
214.9, 1951, Jan Average, Brazil, BRA
179.7, 1951, Feb Average, Brazil, BRA
247.2, 1951, Mar Average, Brazil, BRA
170.8, 1951, Apr Average, Brazil, BRA
130.6, 1951, May Average, Brazil, BRA
80.6, 1951, Jun Average, Brazil, BRA
53.1, 1951, Jul Average, Brazil, BRA
44.3, 1951, Aug Average, Brazil, BRA
