tasmax, Year, Statistics, Country, ISO3
29.3, 1931, Jul Average, Brazil, BRA
30.3, 1931, Aug Average, Brazil, BRA
30.5, 1931, Sep Average, Brazil, BRA
31.1, 1931, Oct Average, Brazil, BRA
30.4, 1931, Nov Average, Brazil, BRA
30.4, 1931, Dec Average, Brazil, BRA
30.1, 1932, Jan Average, Brazil, BRA
30.4, 1932, Feb Average, Brazil, BRA
30.1, 1932, Mar Average, Brazil, BRA
30.3, 1932, Apr Average, Brazil, BRA
29.1, 1932, May Average, Brazil, BRA
29.0, 1932, Jun Average, Brazil, BRA
29.9, 1932, Jul Average, Brazil, BRA
30.0, 1932, Aug Average, Brazil, BRA
31.1, 1932, Sep Average, Brazil, BRA
31.2, 1932, Oct Average, Brazil, BRA
31.1, 1932, Nov Average, Brazil, BRA
30.4, 1932, Dec Average, Brazil, BRA
30.2, 1933, Jan Average, Brazil, BRA
30.3, 1933, Feb Average, Brazil, BRA
30.0, 1933, Mar Average, Brazil, BRA
29.5, 1933, Apr Average, Brazil, BRA
29.3, 1933, May Average, Brazil, BRA
28.3, 1933, Jun Average, Brazil, BRA
28.5, 1933, Jul Average, Brazil, BRA
30.4, 1933, Aug Average, Brazil, BRA
31.0, 1933, Sep Average, Brazil, BRA
31.1, 1933, Oct Average, Brazil, BRA
30.4, 1933, Nov Average, Brazil, BRA
30.1, 1933, Dec Average, Brazil, BRA
30.0, 1934, Jan Average, Brazil, BRA
29.8, 1934, Feb Average, Brazil, BRA
30.0, 1934, Mar Average, Brazil, BRA
29.3, 1934, Apr Average, Brazil, BRA
29.2, 1934, May Average, Brazil, BRA
29.2, 1934, Jun Average, Brazil, BRA
29.0, 1934, Jul Average, Brazil, BRA
30.2, 1934, Aug Average, Brazil, BRA
30.8, 1934, Sep Average, Brazil, BRA
30.5, 1934, Oct Average, Brazil, BRA
30.7, 1934, Nov Average, Brazil, BRA
30.3, 1934, Dec Average, Brazil, BRA
30.3, 1935, Jan Average, Brazil, BRA
30.2, 1935, Feb Average, Brazil, BRA
30.3, 1935, Mar Average, Brazil, BRA
29.3, 1935, Apr Average, Brazil, BRA
28.7, 1935, May Average, Brazil, BRA
29.1, 1935, Jun Average, Brazil, BRA
29.4, 1935, Jul Average, Brazil, BRA
30.3, 1935, Aug Average, Brazil, BRA
30.8, 1935, Sep Average, Brazil, BRA
31.1, 1935, Oct Average, Brazil, BRA
30.7, 1935, Nov Average, Brazil, BRA
30.8, 1935, Dec Average, Brazil, BRA
30.2, 1936, Jan Average, Brazil, BRA
30.2, 1936, Feb Average, Brazil, BRA
30.2, 1936, Mar Average, Brazil, BRA
29.8, 1936, Apr Average, Brazil, BRA
30.1, 1936, May Average, Brazil, BRA
29.5, 1936, Jun Average, Brazil, BRA
29.2, 1936, Jul Average, Brazil, BRA
30.0, 1936, Aug Average, Brazil, BRA
31.1, 1936, Sep Average, Brazil, BRA
31.4, 1936, Oct Average, Brazil, BRA
30.8, 1936, Nov Average, Brazil, BRA
30.5, 1936, Dec Average, Brazil, BRA
30.1, 1937, Jan Average, Brazil, BRA
30.6, 1937, Feb Average, Brazil, BRA
30.1, 1937, Mar Average, Brazil, BRA
29.5, 1937, Apr Average, Brazil, BRA
28.9, 1937, May Average, Brazil, BRA
29.3, 1937, Jun Average, Brazil, BRA
29.3, 1937, Jul Average, Brazil, BRA
31.0, 1937, Aug Average, Brazil, BRA
30.9, 1937, Sep Average, Brazil, BRA
30.8, 1937, Oct Average, Brazil, BRA
30.9, 1937, Nov Average, Brazil, BRA
30.5, 1937, Dec Average, Brazil, BRA
30.4, 1938, Jan Average, Brazil, BRA
30.5, 1938, Feb Average, Brazil, BRA
30.1, 1938, Mar Average, Brazil, BRA
29.4, 1938, Apr Average, Brazil, BRA
29.1, 1938, May Average, Brazil, BRA
29.0, 1938, Jun Average, Brazil, BRA
29.4, 1938, Jul Average, Brazil, BRA
30.1, 1938, Aug Average, Brazil, BRA
30.9, 1938, Sep Average, Brazil, BRA
30.8, 1938, Oct Average, Brazil, BRA
30.7, 1938, Nov Average, Brazil, BRA
30.4, 1938, Dec Average, Brazil, BRA
30.4, 1939, Jan Average, Brazil, BRA
30.2, 1939, Feb Average, Brazil, BRA
30.1, 1939, Mar Average, Brazil, BRA
29.6, 1939, Apr Average, Brazil, BRA
29.6, 1939, May Average, Brazil, BRA
29.3, 1939, Jun Average, Brazil, BRA
28.9, 1939, Jul Average, Brazil, BRA
30.5, 1939, Aug Average, Brazil, BRA
30.7, 1939, Sep Average, Brazil, BRA
31.3, 1939, Oct Average, Brazil, BRA
30.8, 1939, Nov Average, Brazil, BRA
30.4, 1939, Dec Average, Brazil, BRA
30.3, 1940, Jan Average, Brazil, BRA
30.4, 1940, Feb Average, Brazil, BRA
30.2, 1940, Mar Average, Brazil, BRA
30.0, 1940, Apr Average, Brazil, BRA
29.8, 1940, May Average, Brazil, BRA
29.2, 1940, Jun Average, Brazil, BRA
30.0, 1940, Jul Average, Brazil, BRA
30.3, 1940, Aug Average, Brazil, BRA
30.9, 1940, Sep Average, Brazil, BRA
31.1, 1940, Oct Average, Brazil, BRA
30.6, 1940, Nov Average, Brazil, BRA
31.0, 1940, Dec Average, Brazil, BRA
30.6, 1941, Jan Average, Brazil, BRA
30.7, 1941, Feb Average, Brazil, BRA
30.3, 1941, Mar Average, Brazil, BRA
30.6, 1941, Apr Average, Brazil, BRA
29.8, 1941, May Average, Brazil, BRA
28.9, 1941, Jun Average, Brazil, BRA
29.5, 1941, Jul Average, Brazil, BRA
31.1, 1941, Aug Average, Brazil, BRA
30.3, 1941, Sep Average, Brazil, BRA
31.4, 1941, Oct Average, Brazil, BRA
31.0, 1941, Nov Average, Brazil, BRA
30.8, 1941, Dec Average, Brazil, BRA
30.9, 1942, Jan Average, Brazil, BRA
30.7, 1942, Feb Average, Brazil, BRA
30.6, 1942, Mar Average, Brazil, BRA
30.2, 1942, Apr Average, Brazil, BRA
29.2, 1942, May Average, Brazil, BRA
28.5, 1942, Jun Average, Brazil, BRA
28.5, 1942, Jul Average, Brazil, BRA
30.7, 1942, Aug Average, Brazil, BRA
31.3, 1942, Sep Average, Brazil, BRA
31.3, 1942, Oct Average, Brazil, BRA
31.2, 1942, Nov Average, Brazil, BRA
30.5, 1942, Dec Average, Brazil, BRA
30.4, 1943, Jan Average, Brazil, BRA
30.4, 1943, Feb Average, Brazil, BRA
30.1, 1943, Mar Average, Brazil, BRA
29.4, 1943, Apr Average, Brazil, BRA
29.6, 1943, May Average, Brazil, BRA
29.1, 1943, Jun Average, Brazil, BRA
29.4, 1943, Jul Average, Brazil, BRA
29.5, 1943, Aug Average, Brazil, BRA
30.8, 1943, Sep Average, Brazil, BRA
31.6, 1943, Oct Average, Brazil, BRA
30.9, 1943, Nov Average, Brazil, BRA
30.3, 1943, Dec Average, Brazil, BRA
30.4, 1944, Jan Average, Brazil, BRA
30.5, 1944, Feb Average, Brazil, BRA
30.3, 1944, Mar Average, Brazil, BRA
29.6, 1944, Apr Average, Brazil, BRA
29.3, 1944, May Average, Brazil, BRA
29.3, 1944, Jun Average, Brazil, BRA
29.3, 1944, Jul Average, Brazil, BRA
31.1, 1944, Aug Average, Brazil, BRA
31.5, 1944, Sep Average, Brazil, BRA
31.8, 1944, Oct Average, Brazil, BRA
30.9, 1944, Nov Average, Brazil, BRA
30.9, 1944, Dec Average, Brazil, BRA
30.6, 1945, Jan Average, Brazil, BRA
30.5, 1945, Feb Average, Brazil, BRA
30.4, 1945, Mar Average, Brazil, BRA
30.1, 1945, Apr Average, Brazil, BRA
28.9, 1945, May Average, Brazil, BRA
28.5, 1945, Jun Average, Brazil, BRA
29.4, 1945, Jul Average, Brazil, BRA
31.3, 1945, Aug Average, Brazil, BRA
31.2, 1945, Sep Average, Brazil, BRA
31.4, 1945, Oct Average, Brazil, BRA
30.9, 1945, Nov Average, Brazil, BRA
30.4, 1945, Dec Average, Brazil, BRA
30.2, 1946, Jan Average, Brazil, BRA
30.7, 1946, Feb Average, Brazil, BRA
30.2, 1946, Mar Average, Brazil, BRA
29.7, 1946, Apr Average, Brazil, BRA
29.6, 1946, May Average, Brazil, BRA
29.0, 1946, Jun Average, Brazil, BRA
29.1, 1946, Jul Average, Brazil, BRA
30.6, 1946, Aug Average, Brazil, BRA
31.5, 1946, Sep Average, Brazil, BRA
31.4, 1946, Oct Average, Brazil, BRA
31.2, 1946, Nov Average, Brazil, BRA
30.5, 1946, Dec Average, Brazil, BRA
30.5, 1947, Jan Average, Brazil, BRA
30.6, 1947, Feb Average, Brazil, BRA
30.1, 1947, Mar Average, Brazil, BRA
29.8, 1947, Apr Average, Brazil, BRA
29.4, 1947, May Average, Brazil, BRA
29.4, 1947, Jun Average, Brazil, BRA
28.9, 1947, Jul Average, Brazil, BRA
30.2, 1947, Aug Average, Brazil, BRA
30.9, 1947, Sep Average, Brazil, BRA
30.8, 1947, Oct Average, Brazil, BRA
30.5, 1947, Nov Average, Brazil, BRA
30.2, 1947, Dec Average, Brazil, BRA
30.6, 1948, Jan Average, Brazil, BRA
30.3, 1948, Feb Average, Brazil, BRA
29.8, 1948, Mar Average, Brazil, BRA
29.7, 1948, Apr Average, Brazil, BRA
29.3, 1948, May Average, Brazil, BRA
29.4, 1948, Jun Average, Brazil, BRA
29.7, 1948, Jul Average, Brazil, BRA
30.2, 1948, Aug Average, Brazil, BRA
31.1, 1948, Sep Average, Brazil, BRA
31.1, 1948, Oct Average, Brazil, BRA
30.7, 1948, Nov Average, Brazil, BRA
30.5, 1948, Dec Average, Brazil, BRA
30.1, 1949, Jan Average, Brazil, BRA
29.9, 1949, Feb Average, Brazil, BRA
30.3, 1949, Mar Average, Brazil, BRA
29.2, 1949, Apr Average, Brazil, BRA
28.8, 1949, May Average, Brazil, BRA
29.2, 1949, Jun Average, Brazil, BRA
29.0, 1949, Jul Average, Brazil, BRA
30.1, 1949, Aug Average, Brazil, BRA
31.0, 1949, Sep Average, Brazil, BRA
30.7, 1949, Oct Average, Brazil, BRA
30.7, 1949, Nov Average, Brazil, BRA
30.5, 1949, Dec Average, Brazil, BRA
30.1, 1950, Jan Average, Brazil, BRA
30.2, 1950, Feb Average, Brazil, BRA
29.6, 1950, Mar Average, Brazil, BRA
29.6, 1950, Apr Average, Brazil, BRA
29.3, 1950, May Average, Brazil, BRA
29.1, 1950, Jun Average, Brazil, BRA
29.1, 1950, Jul Average, Brazil, BRA
30.4, 1950, Aug Average, Brazil, BRA
31.1, 1950, Sep Average, Brazil, BRA
30.8, 1950, Oct Average, Brazil, BRA
30.5, 1950, Nov Average, Brazil, BRA
30.3, 1950, Dec Average, Brazil, BRA
30.0, 1951, Jan Average, Brazil, BRA
30.1, 1951, Feb Average, Brazil, BRA
30.1, 1951, Mar Average, Brazil, BRA
28.9, 1951, Apr Average, Brazil, BRA
29.2, 1951, May Average, Brazil, BRA
28.7, 1951, Jun Average, Brazil, BRA
29.0, 1951, Jul Average, Brazil, BRA
30.3, 1951, Aug Average, Brazil, BRA
31.3, 1951, Sep Average, Brazil, BRA
