Temperature - (Celsius), Year, Statistics, Country, ISO3
13.7, 1938, Jul Average, Australia, AUS
15.3, 1938, Aug Average, Australia, AUS
19.2, 1938, Sep Average, Australia, AUS
23.1, 1938, Oct Average, Australia, AUS
26.2, 1938, Nov Average, Australia, AUS
28.0, 1938, Dec Average, Australia, AUS
28.7, 1939, Jan Average, Australia, AUS
27.2, 1939, Feb Average, Australia, AUS
25.0, 1939, Mar Average, Australia, AUS
21.7, 1939, Apr Average, Australia, AUS
18.6, 1939, May Average, Australia, AUS
14.7, 1939, Jun Average, Australia, AUS
13.0, 1939, Jul Average, Australia, AUS
14.7, 1939, Aug Average, Australia, AUS
18.0, 1939, Sep Average, Australia, AUS
21.5, 1939, Oct Average, Australia, AUS
24.2, 1939, Nov Average, Australia, AUS
26.5, 1939, Dec Average, Australia, AUS
27.8, 1940, Jan Average, Australia, AUS
26.5, 1940, Feb Average, Australia, AUS
26.0, 1940, Mar Average, Australia, AUS
20.9, 1940, Apr Average, Australia, AUS
16.6, 1940, May Average, Australia, AUS
15.1, 1940, Jun Average, Australia, AUS
13.7, 1940, Jul Average, Australia, AUS
15.9, 1940, Aug Average, Australia, AUS
19.1, 1940, Sep Average, Australia, AUS
23.4, 1940, Oct Average, Australia, AUS
24.6, 1940, Nov Average, Australia, AUS
27.4, 1940, Dec Average, Australia, AUS
26.1, 1941, Jan Average, Australia, AUS
26.6, 1941, Feb Average, Australia, AUS
24.2, 1941, Mar Average, Australia, AUS
21.9, 1941, Apr Average, Australia, AUS
17.6, 1941, May Average, Australia, AUS
14.4, 1941, Jun Average, Australia, AUS
14.0, 1941, Jul Average, Australia, AUS
15.0, 1941, Aug Average, Australia, AUS
18.6, 1941, Sep Average, Australia, AUS
21.5, 1941, Oct Average, Australia, AUS
25.4, 1941, Nov Average, Australia, AUS
27.2, 1941, Dec Average, Australia, AUS
28.0, 1942, Jan Average, Australia, AUS
26.3, 1942, Feb Average, Australia, AUS
25.6, 1942, Mar Average, Australia, AUS
21.9, 1942, Apr Average, Australia, AUS
18.7, 1942, May Average, Australia, AUS
15.5, 1942, Jun Average, Australia, AUS
14.0, 1942, Jul Average, Australia, AUS
16.5, 1942, Aug Average, Australia, AUS
19.3, 1942, Sep Average, Australia, AUS
21.8, 1942, Oct Average, Australia, AUS
24.9, 1942, Nov Average, Australia, AUS
26.5, 1942, Dec Average, Australia, AUS
27.4, 1943, Jan Average, Australia, AUS
26.5, 1943, Feb Average, Australia, AUS
26.1, 1943, Mar Average, Australia, AUS
21.3, 1943, Apr Average, Australia, AUS
16.8, 1943, May Average, Australia, AUS
13.6, 1943, Jun Average, Australia, AUS
13.4, 1943, Jul Average, Australia, AUS
14.6, 1943, Aug Average, Australia, AUS
18.4, 1943, Sep Average, Australia, AUS
22.2, 1943, Oct Average, Australia, AUS
24.2, 1943, Nov Average, Australia, AUS
26.6, 1943, Dec Average, Australia, AUS
28.2, 1944, Jan Average, Australia, AUS
26.3, 1944, Feb Average, Australia, AUS
25.0, 1944, Mar Average, Australia, AUS
20.6, 1944, Apr Average, Australia, AUS
16.2, 1944, May Average, Australia, AUS
14.3, 1944, Jun Average, Australia, AUS
13.7, 1944, Jul Average, Australia, AUS
15.6, 1944, Aug Average, Australia, AUS
19.8, 1944, Sep Average, Australia, AUS
22.5, 1944, Oct Average, Australia, AUS
26.1, 1944, Nov Average, Australia, AUS
26.4, 1944, Dec Average, Australia, AUS
27.2, 1945, Jan Average, Australia, AUS
26.6, 1945, Feb Average, Australia, AUS
24.8, 1945, Mar Average, Australia, AUS
21.9, 1945, Apr Average, Australia, AUS
17.6, 1945, May Average, Australia, AUS
15.9, 1945, Jun Average, Australia, AUS
13.2, 1945, Jul Average, Australia, AUS
16.7, 1945, Aug Average, Australia, AUS
18.4, 1945, Sep Average, Australia, AUS
21.3, 1945, Oct Average, Australia, AUS
24.6, 1945, Nov Average, Australia, AUS
27.0, 1945, Dec Average, Australia, AUS
27.6, 1946, Jan Average, Australia, AUS
26.1, 1946, Feb Average, Australia, AUS
23.9, 1946, Mar Average, Australia, AUS
20.1, 1946, Apr Average, Australia, AUS
18.2, 1946, May Average, Australia, AUS
13.2, 1946, Jun Average, Australia, AUS
