tasmax, Year, Statistics, Country, ISO3
30.8, 1937, Sep Average, Indonesia, IDN
31.0, 1937, Oct Average, Indonesia, IDN
31.1, 1937, Nov Average, Indonesia, IDN
30.5, 1937, Dec Average, Indonesia, IDN
30.3, 1938, Jan Average, Indonesia, IDN
30.5, 1938, Feb Average, Indonesia, IDN
30.5, 1938, Mar Average, Indonesia, IDN
30.8, 1938, Apr Average, Indonesia, IDN
30.8, 1938, May Average, Indonesia, IDN
30.4, 1938, Jun Average, Indonesia, IDN
30.2, 1938, Jul Average, Indonesia, IDN
30.3, 1938, Aug Average, Indonesia, IDN
30.7, 1938, Sep Average, Indonesia, IDN
31.1, 1938, Oct Average, Indonesia, IDN
31.0, 1938, Nov Average, Indonesia, IDN
30.5, 1938, Dec Average, Indonesia, IDN
30.2, 1939, Jan Average, Indonesia, IDN
30.3, 1939, Feb Average, Indonesia, IDN
30.5, 1939, Mar Average, Indonesia, IDN
30.8, 1939, Apr Average, Indonesia, IDN
30.8, 1939, May Average, Indonesia, IDN
30.2, 1939, Jun Average, Indonesia, IDN
30.3, 1939, Jul Average, Indonesia, IDN
30.5, 1939, Aug Average, Indonesia, IDN
30.6, 1939, Sep Average, Indonesia, IDN
30.9, 1939, Oct Average, Indonesia, IDN
31.0, 1939, Nov Average, Indonesia, IDN
30.5, 1939, Dec Average, Indonesia, IDN
30.2, 1940, Jan Average, Indonesia, IDN
30.3, 1940, Feb Average, Indonesia, IDN
30.5, 1940, Mar Average, Indonesia, IDN
30.8, 1940, Apr Average, Indonesia, IDN
30.6, 1940, May Average, Indonesia, IDN
30.3, 1940, Jun Average, Indonesia, IDN
30.4, 1940, Jul Average, Indonesia, IDN
30.3, 1940, Aug Average, Indonesia, IDN
30.8, 1940, Sep Average, Indonesia, IDN
31.3, 1940, Oct Average, Indonesia, IDN
31.1, 1940, Nov Average, Indonesia, IDN
30.8, 1940, Dec Average, Indonesia, IDN
30.6, 1941, Jan Average, Indonesia, IDN
30.8, 1941, Feb Average, Indonesia, IDN
31.0, 1941, Mar Average, Indonesia, IDN
31.2, 1941, Apr Average, Indonesia, IDN
31.2, 1941, May Average, Indonesia, IDN
30.9, 1941, Jun Average, Indonesia, IDN
30.4, 1941, Jul Average, Indonesia, IDN
30.6, 1941, Aug Average, Indonesia, IDN
30.9, 1941, Sep Average, Indonesia, IDN
31.4, 1941, Oct Average, Indonesia, IDN
31.1, 1941, Nov Average, Indonesia, IDN
30.7, 1941, Dec Average, Indonesia, IDN
30.3, 1942, Jan Average, Indonesia, IDN
30.4, 1942, Feb Average, Indonesia, IDN
30.7, 1942, Mar Average, Indonesia, IDN
30.8, 1942, Apr Average, Indonesia, IDN
